id,name,host_id,host_name,neighbourhood,postcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,availability_365
14437955,Stunning Bristol Neo-Gothic Studio,41521216,Jonte,Central,BS1 5AY,51.4557168037,-2.5968330036,Apartment,Entire home/apt,2,1,1,1,60,1,224,2018-11-03,8.12,80,9,7,9,9,10,8,1,63
14442814,Cosy double bedroom in beautiful Victorian house,88922941,Laura,Bedminster,BS3 3JF,51.435037991,-2.6103238307,Townhouse,Private room,2,1,1,1,33,1,55,2018-06-14,2,97,10,10,10,10,9,10,1,15
14449158,"Wild about life, family home in Bristol.",30100929,Alana,Westbury-on-Trym & Henleaze,,51.481949002,-2.604113934,House,Private room,2,1,1,2,30,1,2,2017-12-16,0.07,100,9,9,10,10,9,9,1,286
14460162,Brand new 2 Bed apartment on Harbourside,87252220,Rachel,Hotwells & Harbourside,BS1 6WD,51.4483430248,-2.5999336871,Apartment,Entire home/apt,4,2,2,2,160,2,13,2018-07-22,0.49,95,9,10,10,10,10,9,1,0
14469994,Double with sunset views in St Werburghs,6048202,Pauline,Ashley,BS2 9YG,51.4717236236,-2.5743662184,House,Private room,2,1,1,1,25,1,51,2018-11-04,2.19,97,10,9,10,10,10,10,3,145
14483722,Central Bristol Studio Apartment,45366780,Jake,Ashley,BS2 9QN,51.4669062418,-2.5803353639,Apartment,Entire home/apt,2,1,0,1,46,2,50,2018-10-14,1.92,88,9,10,10,10,8,9,4,317
14509060,"Double room Clifton , fantastic location",2109858,Evelina,Clifton Down,,51.4586036647,-2.6109651581,Apartment,Private room,1,1,1,1,28,2,9,2016-11-18,0.34,89,9,9,10,10,10,9,4,289
14519297,Spectacular Views in Bright Victorian Home,38385150,Jenn,Clifton,BS8 1AL,51.4552395773,-2.6114233402,Apartment,Entire home/apt,3,1,1,1,89,4,73,2018-11-02,2.68,97,10,10,10,10,10,9,1,104
14552249,"Gorgeous large flat, quiet and central",12425817,Maria,Redland,BS6 6QP,51.4696578973,-2.5999249866,Apartment,Entire home/apt,4,2,2,2,90,3,23,2018-04-16,0.86,95,10,9,10,10,10,10,1,91
14554039,Lovely room in friendly house,21795890,Rachel,Bishopston & Ashley Down,BS7,51.4867701318,-2.5869501533,House,Private room,2,1.5,1,2,30,2,8,2017-01-13,0.29,95,10,10,10,10,9,10,3,265
14584917,Beautiful Georgian House in the heart of Bristol,42126176,Jacqueline,Central,BS1 6SX,51.4480188891,-2.5926590603,Townhouse,Private room,1,1.5,1,1,35,30,0,,,,,,,,,,1,86
14584919,2 Bed Flat in Bristol City Centre with Parking,65192629,Airbristol,Central,BS1,51.4596474667,-2.5903834147,Apartment,Entire home/apt,4,2,2,2,99,1,117,2018-11-03,4.33,87,9,8,10,9,9,9,54,315
14599886,"Spacious Boutique Apartment Clifton, King Size Bed",90574532,Will And Rhian,Redland,BS6 6UJ,51.4715818367,-2.614885262,Apartment,Entire home/apt,2,1,1,1,79,2,74,2018-10-21,2.77,90,9,9,10,10,10,9,1,148
14611969,Stunning traditional flat in the heart of Bristol,40145180,Marco,Cotham,BS6 6DJ,51.4641067358,-2.5985213213,Apartment,Entire home/apt,4,1,2,2,105,1,227,2018-11-14,8.38,97,10,10,10,10,10,10,1,18
14627596,Quiet double room close to Gloucester Rd BS7,7380185,Fenella,Ashley,BS7 9AG,51.4745657014,-2.5883762245,Bed and breakfast,Private room,1,1.5,1,1,25,2,111,2018-11-11,4.09,97,10,10,10,10,10,10,1,80
14634826,Lovely GFF Arlington villas Clifton,33313992,Lorraine,Clifton Down,BS8 2EG,51.4582696356,-2.6107595152,Apartment,Entire home/apt,2,1,1,1,75,2,6,2017-10-08,0.23,93,10,8,10,10,10,9,2,0
